Word,Wikidata QID,Has Miraheze Link,Wikidata URL
meli,Q137374226,Yes,https://www.wikidata.org/wiki/Q137374226
mi,Q137374228,Yes,https://www.wikidata.org/wiki/Q137374228
mije,Q137374229,Yes,https://www.wikidata.org/wiki/Q137374229
misikeke,Q137374384,Yes,https://www.wikidata.org/wiki/Q137374384
moku,Q137374231,Yes,https://www.wikidata.org/wiki/Q137374231
moli,Q137374233,Yes,https://www.wikidata.org/wiki/Q137374233
monsi,Q137374234,Yes,https://www.wikidata.org/wiki/Q137374234
monsuta,Q137374385,Yes,https://www.wikidata.org/wiki/Q137374385
mu,Q137374236,Yes,https://www.wikidata.org/wiki/Q137374236
mun,Q137374237,Yes,https://www.wikidata.org/wiki/Q137374237
musi,Q137374238,Yes,https://www.wikidata.org/wiki/Q137374238
mute,Q137374239,Yes,https://www.wikidata.org/wiki/Q137374239
n,Q137374386,Yes,https://www.wikidata.org/wiki/Q137374386
namako,Q137374241,Yes,https://www.wikidata.org/wiki/Q137374241
nanpa,Q137374242,Yes,https://www.wikidata.org/wiki/Q137374242
nasa,Q137374243,Yes,https://www.wikidata.org/wiki/Q137374243
nasin,Q137374244,Yes,https://www.wikidata.org/wiki/Q137374244
nena,Q137374245,Yes,https://www.wikidata.org/wiki/Q137374245
ni,Q137374246,Yes,https://www.wikidata.org/wiki/Q137374246
nimi,Q137374247,Yes,https://www.wikidata.org/wiki/Q137374247
noka,Q137104254,Yes,https://www.wikidata.org/wiki/Q137104254
o,Q137374249,Yes,https://www.wikidata.org/wiki/Q137374249
olin,Q137374251,Yes,https://www.wikidata.org/wiki/Q137374251
ona,Q137374252,Yes,https://www.wikidata.org/wiki/Q137374252
open,Q137374253,Yes,https://www.wikidata.org/wiki/Q137374253
pakala,Q137374254,Yes,https://www.wikidata.org/wiki/Q137374254
pali,Q137374256,Yes,https://www.wikidata.org/wiki/Q137374256
palisa,Q137374257,Yes,https://www.wikidata.org/wiki/Q137374257
pan,Q137374258,Yes,https://www.wikidata.org/wiki/Q137374258
pana,Q137374259,Yes,https://www.wikidata.org/wiki/Q137374259
pata,Q137374460,Yes,https://www.wikidata.org/wiki/Q137374460
pi,Q137374262,Yes,https://www.wikidata.org/wiki/Q137374262
pilin,Q137374263,Yes,https://www.wikidata.org/wiki/Q137374263
pimeja,Q137374264,Yes,https://www.wikidata.org/wiki/Q137374264
pini,Q137374265,Yes,https://www.wikidata.org/wiki/Q137374265
pipi,Q137374266,Yes,https://www.wikidata.org/wiki/Q137374266
poka,Q137374268,Yes,https://www.wikidata.org/wiki/Q137374268
poki,Q137374269,Yes,https://www.wikidata.org/wiki/Q137374269
pona,Q137374270,Yes,https://www.wikidata.org/wiki/Q137374270
pu,Q137374271,Yes,https://www.wikidata.org/wiki/Q137374271
ryuupekosi,Q137188220,Yes,https://www.wikidata.org/wiki/Q137188220
sama,Q137374272,Yes,https://www.wikidata.org/wiki/Q137374272
seli,Q137374274,Yes,https://www.wikidata.org/wiki/Q137374274
selo,Q137374275,Yes,https://www.wikidata.org/wiki/Q137374275
seme,Q137374277,Yes,https://www.wikidata.org/wiki/Q137374277
sewi,Q137374278,Yes,https://www.wikidata.org/wiki/Q137374278
sijelo,Q137374279,Yes,https://www.wikidata.org/wiki/Q137374279
sike,Q137374280,Yes,https://www.wikidata.org/wiki/Q137374280
sin,Q137374281,Yes,https://www.wikidata.org/wiki/Q137374281
sina,Q135010765,Yes,https://www.wikidata.org/wiki/Q135010765
sinpin,Q137374283,Yes,https://www.wikidata.org/wiki/Q137374283
sitelen,Q137104235,Yes,https://www.wikidata.org/wiki/Q137104235
soko,Q137374392,Yes,https://www.wikidata.org/wiki/Q137374392
sona,Q137374286,Yes,https://www.wikidata.org/wiki/Q137374286
soweli,Q137374287,Yes,https://www.wikidata.org/wiki/Q137374287
suli,Q137374532,Yes,https://www.wikidata.org/wiki/Q137374532
suno,Q137374533,Yes,https://www.wikidata.org/wiki/Q137374533
supa,Q137374534,Yes,https://www.wikidata.org/wiki/Q137374534
suwi,Q137374535,Yes,https://www.wikidata.org/wiki/Q137374535
tan,Q137374536,Yes,https://www.wikidata.org/wiki/Q137374536
taso,Q137374537,Yes,https://www.wikidata.org/wiki/Q137374537
tawa,Q137374289,Yes,https://www.wikidata.org/wiki/Q137374289
telo,Q137374538,Yes,https://www.wikidata.org/wiki/Q137374538
tenpo,Q137374401,Yes,https://www.wikidata.org/wiki/Q137374401
toki,Q137374423,Yes,https://www.wikidata.org/wiki/Q137374423
tomo,Q137374541,Yes,https://www.wikidata.org/wiki/Q137374541
tonsi,Q137374542,Yes,https://www.wikidata.org/wiki/Q137374542
tu,Q137374543,Yes,https://www.wikidata.org/wiki/Q137374543
unpa,Q137374544,Yes,https://www.wikidata.org/wiki/Q137374544
uta,Q137374545,Yes,https://www.wikidata.org/wiki/Q137374545
utala,Q137374546,Yes,https://www.wikidata.org/wiki/Q137374546
walo,Q137374547,Yes,https://www.wikidata.org/wiki/Q137374547
wan,Q137374548,Yes,https://www.wikidata.org/wiki/Q137374548
waso,Q137374291,Yes,https://www.wikidata.org/wiki/Q137374291
wawa,Q137374549,Yes,https://www.wikidata.org/wiki/Q137374549
weka,Q137374292,Yes,https://www.wikidata.org/wiki/Q137374292
wile,Q137374550,Yes,https://www.wikidata.org/wiki/Q137374550
