QuickStatements to CREATE Wikidata items for all items without Wikidata
================================================================================

Total items to create: 616

Breakdown:
  - Rare words: 281
  - Ligatures/compound words: 332
  - Base category items: 3

Word                           P31 Type        Commons Category                                  
ijo kute                       Compound word   Category:Ijo kute (toki pona)                     
ijo lape                       Compound word   Category:Ijo lape (toki pona)                     
ijo laso                       Compound word   Category:Ijo laso (toki pona)                     
ijo len                        Compound word   Category:Ijo len (toki pona)                      
ijo lete                       Compound word   Category:Ijo lete (toki pona)                     
ijo linja                      Compound word   Category:Ijo linja (toki pona)                    
ijo lipu                       Compound word   Category:Ijo lipu (toki pona)                     
ijo loje                       Compound word   Category:Ijo loje (toki pona)                     
ijo luka                       Compound word   Category:Ijo luka (toki pona)                     
ijo lukin                      Compound word   Category:Ijo lukin (toki pona)                    
ijo lupa                       Compound word   Category:Ijo lupa (toki pona)                     
ijo ma                         Compound word   Category:Ijo ma (toki pona)                       
ijo mama                       Compound word   Category:Ijo mama (toki pona)                     
ijo mani                       Compound word   Category:Ijo mani (toki pona)                     
ijo meli                       Compound word   Category:Ijo meli (toki pona)                     
ijo mi                         Compound word   Category:Ijo mi (toki pona)                       
ijo mije                       Compound word   Category:Ijo mije (toki pona)                     
ijo moku                       Compound word   Category:Ijo moku (toki pona)                     
ijo moli                       Compound word   Category:Ijo moli (toki pona)                     
ijo monsi                      Compound word   Category:Ijo monsi (toki pona)                    
ijo monsuta                    Compound word   Category:Ijo monsuta (toki pona)                  
ijo mu                         Compound word   Category:Ijo mu (toki pona)                       
ijo mun                        Compound word   Category:Ijo mun (toki pona)                      
ijo musi                       Compound word   Category:Ijo musi (toki pona)                     
ijo mute                       Compound word   Category:Ijo mute (toki pona)                     
ijo namako                     Compound word   Category:Ijo namako (toki pona)                   
ijo nanpa                      Compound word   Category:Ijo nanpa (toki pona)                    
ijo nasa                       Compound word   Category:Ijo nasa (toki pona)                     
ijo nasin                      Compound word   Category:Ijo nasin (toki pona)                    
ijo nena                       Compound word   Category:Ijo nena (toki pona)                     
ijo ni                         Compound word   Category:Ijo ni (toki pona)                       
ijo ni li seme                 Compound word   Category:Ijo ni li seme (toki pona)               
ijo nimi                       Compound word   Category:Ijo nimi (toki pona)                     
ijo noka                       Compound word   Category:Ijo noka (toki pona)                     
ijo oko                        Compound word   Category:Ijo oko (toki pona)                      
ijo olin                       Compound word   Category:Ijo olin (toki pona)                     
ijo ona                        Compound word   Category:Ijo ona (toki pona)                      
ijo open                       Compound word   Category:Ijo open (toki pona)                     
ijo pakala                     Compound word   Category:Ijo pakala (toki pona)                   
ijo pake                       Compound word   Category:Ijo pake (toki pona)                     
ijo pali                       Compound word   Category:Ijo pali (toki pona)                     
ijo palisa                     Compound word   Category:Ijo palisa (toki pona)                   
ijo pan                        Compound word   Category:Ijo pan (toki pona)                      
ijo pana                       Compound word   Category:Ijo pana (toki pona)                     
ijo pilin                      Compound word   Category:Ijo pilin (toki pona)                    
ijo pimeja                     Compound word   Category:Ijo pimeja (toki pona)                   
ijo pini                       Compound word   Category:Ijo pini (toki pona)                     
ijo pipi                       Compound word   Category:Ijo pipi (toki pona)                     
ijo poka                       Compound word   Category:Ijo poka (toki pona)                     
ijo poki                       Compound word   Category:Ijo poki (toki pona)                     
ijo pona                       Compound word   Category:Ijo pona (toki pona)                     
ijo pu                         Compound word   Category:Ijo pu (toki pona)                       
ijo sama                       Compound word   Category:Ijo sama (toki pona)                     
ijo seli                       Compound word   Category:Ijo seli (toki pona)                     
ijo selo                       Compound word   Category:Ijo selo (toki pona)                     
ijo seme                       Compound word   Category:Ijo seme (toki pona)                     
ijo sewi                       Compound word   Category:Ijo sewi (toki pona)                     
ijo sike                       Compound word   Category:Ijo sike (toki pona)                     
ijo sin                        Compound word   Category:Ijo sin (toki pona)                      
ijo sina                       Compound word   Category:Ijo sina (toki pona)                     
ijo sinpin                     Compound word   Category:Ijo sinpin (toki pona)                   
ijo sitelen                    Compound word   Category:Ijo sitelen (toki pona)                  
ijo sona                       Compound word   Category:Ijo sona (toki pona)                     
ijo soweli                     Compound word   Category:Ijo soweli (toki pona)                   
ijo Stella                     Compound word   Category:Ijo Stella (toki pona)                   
ijo suli                       Compound word   Category:Ijo suli (toki pona)                     
ijo suno                       Compound word   Category:Ijo suno (toki pona)                     
ijo supa                       Compound word   Category:Ijo supa (toki pona)                     
ijo suwi                       Compound word   Category:Ijo suwi (toki pona)                     
ijo tan                        Compound word   Category:Ijo tan (toki pona)                      
ijo taso                       Compound word   Category:Ijo taso (toki pona)                     
ijo tawa                       Compound word   Category:Ijo tawa (toki pona)                     
ijo telo                       Compound word   Category:Ijo telo (toki pona)                     
ijo tenpo                      Compound word   Category:Ijo tenpo (toki pona)                    
ijo toki                       Compound word   Category:Ijo toki (toki pona)                     
ijo tomo                       Compound word   Category:Ijo tomo (toki pona)                     
ijo tonsi                      Compound word   Category:Ijo tonsi (toki pona)                    
ijo tu                         Compound word   Category:Ijo tu (toki pona)                       
ijo unpa                       Compound word   Category:Ijo unpa (toki pona)                     
ijo uta                        Compound word   Category:Ijo uta (toki pona)                      
ijo utala                      Compound word   Category:Ijo utala (toki pona)                    
ijo vivi                       Compound word   Category:Ijo vivi (toki pona)                     
ijo walo                       Compound word   Category:Ijo walo (toki pona)                     
ijo wan                        Compound word   Category:Ijo wan (toki pona)                      
ijo waso                       Compound word   Category:Ijo waso (toki pona)                     
ijo wawa                       Compound word   Category:Ijo wawa (toki pona)                     
ijo weka                       Compound word   Category:Ijo weka (toki pona)                     
ike ala                        Compound word   Category:Ike ala (toki pona)                      
ike lili                       Compound word   Category:Ike lili (toki pona)                     
ike lukin                      Compound word   Category:Ike lukin (toki pona)                    
ike mute                       Compound word   Category:Ike mute (toki pona)                     
ilo lape                       Compound word   Category:Ilo lape (toki pona)                     
ilo moli                       Compound word   Category:Ilo moli (toki pona)                     
ilo oko                        Compound word   Category:Ilo oko (toki pona)                      
ilo open                       Compound word   Category:Ilo open (toki pona)                     
jan ala                        Compound word   Category:Jan ala (toki pona)                      
jan alasa                      Compound word   Category:Jan alasa (toki pona)                    
jan ale                        Compound word   Category:Jan ale (toki pona)                      
jan ali                        Compound word   Category:Jan ali (toki pona)                      
jan ante                       Compound word   Category:Jan ante (toki pona)                     
jan ike                        Compound word   Category:Jan ike (toki pona)                      
jan kala                       Compound word   Category:Jan kala (toki pona)                     
jan kalama                     Compound word   Category:Jan kalama (toki pona)                   
jan kasi                       Compound word   Category:Jan kasi (toki pona)                     
jan kulupu                     Compound word   Category:Jan kulupu (toki pona)                   
jan monsuta                    Compound word   Category:Jan monsuta (toki pona)                  
jan mute                       Compound word   Category:Jan mute (toki pona)                     
jan ni                         Compound word   Category:Jan ni (toki pona)                       
jan olin                       Compound word   Category:Jan olin (toki pona)                     
jan pakala                     Compound word   Category:Jan pakala (toki pona)                   
jan poka                       Compound word   Category:Jan poka (toki pona)                     
jan pona                       Compound word   Category:Jan pona (toki pona)                     
jan seme                       Compound word   Category:Jan seme (toki pona)                     
jan sin                        Compound word   Category:Jan sin (toki pona)                      
jan suli                       Compound word   Category:Jan suli (toki pona)                     
jan suwi                       Compound word   Category:Jan suwi (toki pona)                     
jan toki                       Compound word   Category:Jan toki (toki pona)                     
jan unpa                       Compound word   Category:Jan unpa (toki pona)                     
jan wawa                       Compound word   Category:Jan wawa (toki pona)                     
kala ike                       Compound word   Category:Kala ike (toki pona)                     
kala lete                      Compound word   Category:Kala lete (toki pona)                    
kala lili                      Compound word   Category:Kala lili (toki pona)                    
kala pona                      Compound word   Category:Kala pona (toki pona)                    
kama pona                      Compound word   Category:Kama pona (toki pona)                    
kasi jelo                      Compound word   Category:Kasi jelo (toki pona)                    
kasi ko                        Compound word   Category:Kasi ko (toki pona)                      
kasi kule                      Compound word   Category:Kasi kule (toki pona)                    
kasi laso                      Compound word   Category:Kasi laso (toki pona)                    
kasi lili                      Compound word   Category:Kasi lili (toki pona)                    
kasi loje                      Compound word   Category:Kasi loje (toki pona)                    
kasi pimeja                    Compound word   Category:Kasi pimeja (toki pona)                  
kasi walo                      Compound word   Category:Kasi walo (toki pona)                    
kijetesantakalu soweli         Compound word   Category:Kijetesantakalu soweli (toki pona)       
kili jelo                      Compound word   Category:Kili jelo (toki pona)                    
kili laso                      Compound word   Category:Kili laso (toki pona)                    
kili lili                      Compound word   Category:Kili lili (toki pona)                    
kili loje                      Compound word   Category:Kili loje (toki pona)                    
kili pimeja                    Compound word   Category:Kili pimeja (toki pona)                  
kili suwi                      Compound word   Category:Kili suwi (toki pona)                    
kili walo                      Compound word   Category:Kili walo (toki pona)                    
kiwen ike                      Compound word   Category:Kiwen ike (toki pona)                    
kiwen jelo                     Compound word   Category:Kiwen jelo (toki pona)                   
kiwen laso                     Compound word   Category:Kiwen laso (toki pona)                   
kiwen lete                     Compound word   Category:Kiwen lete (toki pona)                   
kiwen lili                     Compound word   Category:Kiwen lili (toki pona)                   
kiwen loje                     Compound word   Category:Kiwen loje (toki pona)                   
kiwen mun                      Compound word   Category:Kiwen mun (toki pona)                    
kiwen pimeja                   Compound word   Category:Kiwen pimeja (toki pona)                 
kiwen pona                     Compound word   Category:Kiwen pona (toki pona)                   
kiwen seli                     Compound word   Category:Kiwen seli (toki pona)                   
kiwen suno                     Compound word   Category:Kiwen suno (toki pona)                   
kiwen walo                     Compound word   Category:Kiwen walo (toki pona)                   
ko jelo                        Compound word   Category:Ko jelo (toki pona)                      
ko kasi                        Compound word   Category:Ko kasi (toki pona)                      
ko kule                        Compound word   Category:Ko kule (toki pona)                      
ko laso                        Compound word   Category:Ko laso (toki pona)                      
ko lili                        Compound word   Category:Ko lili (toki pona)                      
ko loje                        Compound word   Category:Ko loje (toki pona)                      
ko nasa                        Compound word   Category:Ko nasa (toki pona)                      
ko pimeja                      Compound word   Category:Ko pimeja (toki pona)                    
ko seli                        Compound word   Category:Ko seli (toki pona)                      
ko walo                        Compound word   Category:Ko walo (toki pona)                      
kon lete                       Compound word   Category:Kon lete (toki pona)                     
kule kili                      Compound word   Category:Kule kili (toki pona)                    
kule ma                        Compound word   Category:Kule ma (toki pona)                      
kule mun                       Compound word   Category:Kule mun (toki pona)                     
kule pilin                     Compound word   Category:Kule pilin (toki pona)                   
kule sewi                      Compound word   Category:Kule sewi (toki pona)                    
kule suno                      Compound word   Category:Kule suno (toki pona)                    
kule telo                      Compound word   Category:Kule telo (toki pona)                    
kule uta                       Compound word   Category:Kule uta (toki pona)                     
lan sin                        Compound word   Category:Lan sin (toki pona)                      
laso kasi                      Compound word   Category:Laso kasi (toki pona)                    
laso mun                       Compound word   Category:Laso mun (toki pona)                     
laso sewi                      Compound word   Category:Laso sewi (toki pona)                    
laso telo                      Compound word   Category:Laso telo (toki pona)                    
len jan                        Compound word   Category:Len jan (toki pona)                      
len jelo                       Compound word   Category:Len jelo (toki pona)                     
len laso                       Compound word   Category:Len laso (toki pona)                     
len lili                       Compound word   Category:Len lili (toki pona)                     
len loje                       Compound word   Category:Len loje (toki pona)                     
len luka                       Compound word   Category:Len luka (toki pona)                     
len pimeja                     Compound word   Category:Len pimeja (toki pona)                   
len sin                        Compound word   Category:Len sin (toki pona)                      
len walo                       Compound word   Category:Len walo (toki pona)                     
linja lili                     Compound word   Category:Linja lili (toki pona)                   
linja suwi                     Compound word   Category:Linja suwi (toki pona)                   
lipu kasi                      Compound word   Category:Lipu kasi (toki pona)                    
lipu majuna                    Compound word   Category:Lipu majuna (toki pona)                  
lipu nanpa                     Compound word   Category:Lipu nanpa (toki pona)                   
lipu unpa                      Compound word   Category:Lipu unpa (toki pona)                    
loje jelo                      Compound word   Category:Loje jelo (toki pona)                    
loje walo                      Compound word   Category:Loje walo (toki pona)                    
luka luka luka luka            Compound word   Category:Luka luka luka luka (toki pona)          
luka luka luka tu              Compound word   Category:Luka luka luka tu (toki pona)            
luka luka luka tu tu           Compound word   Category:Luka luka luka tu tu (toki pona)         
luka luka luka tu wan          Compound word   Category:Luka luka luka tu wan (toki pona)        
luka luka luka wan             Compound word   Category:Luka luka luka wan (toki pona)           
luka luka luka wan tu          Compound word   Category:Luka luka luka wan tu (toki pona)        
luka luka wan tu               Compound word   Category:Luka luka wan tu (toki pona)             
luka wan tu                    Compound word   Category:Luka wan tu (toki pona)                  
lupa jaki                      Compound word   Category:Lupa jaki (toki pona)                    
lupa kiwen                     Compound word   Category:Lupa kiwen (toki pona)                   
lupa kute                      Compound word   Category:Lupa kute (toki pona)                    
lupa lili                      Compound word   Category:Lupa lili (toki pona)                    
lupa nena                      Compound word   Category:Lupa nena (toki pona)                    
lupa tomo                      Compound word   Category:Lupa tomo (toki pona)                    
ma ike                         Compound word   Category:Ma ike (toki pona)                       
ma kasi                        Compound word   Category:Ma kasi (toki pona)                      
ma ni                          Compound word   Category:Ma ni (toki pona)                        
mama mama                      Compound word   Category:Mama mama (toki pona)                    
mama meli                      Compound word   Category:Mama meli (toki pona)                    
mama mije                      Compound word   Category:Mama mije (toki pona)                    
mama tonsi                     Compound word   Category:Mama tonsi (toki pona)                   
meli ike                       Compound word   Category:Meli ike (toki pona)                     
meli lili                      Compound word   Category:Meli lili (toki pona)                    
meli mije                      Compound word   Category:Meli mije (toki pona)                    
meli pona                      Compound word   Category:Meli pona (toki pona)                    
meli sama                      Compound word   Category:Meli sama (toki pona)                    
meli unpa                      Compound word   Category:Meli unpa (toki pona)                    
meli wawa                      Compound word   Category:Meli wawa (toki pona)                    
mije ike                       Compound word   Category:Mije ike (toki pona)                     
mije lili                      Compound word   Category:Mije lili (toki pona)                    
mije meli                      Compound word   Category:Mije meli (toki pona)                    
mije pona                      Compound word   Category:Mije pona (toki pona)                    
mije sama                      Compound word   Category:Mije sama (toki pona)                    
mije unpa                      Compound word   Category:Mije unpa (toki pona)                    
mije wawa                      Compound word   Category:Mije wawa (toki pona)                    
musi lili                      Compound word   Category:Musi lili (toki pona)                    
mute mute                      Compound word   Category:Mute mute (toki pona)                    
nena lili                      Compound word   Category:Nena lili (toki pona)                    
nena meli                      Compound word   Category:Nena meli (toki pona)                    
pilin ala                      Compound word   Category:Pilin ala (toki pona)                    
pilin nasa                     Compound word   Category:Pilin nasa (toki pona)                   
pilin pakala                   Compound word   Category:Pilin pakala (toki pona)                 
pilin sama                     Compound word   Category:Pilin sama (toki pona)                   
pilin seme                     Compound word   Category:Pilin seme (toki pona)                   
pimeja jelo                    Compound word   Category:Pimeja jelo (toki pona)                  
pimeja laso                    Compound word   Category:Pimeja laso (toki pona)                  
pimeja loje                    Compound word   Category:Pimeja loje (toki pona)                  
poki kon                       Compound word   Category:Poki kon (toki pona)                     
poki lete                      Compound word   Category:Poki lete (toki pona)                    
poki seli                      Compound word   Category:Poki seli (toki pona)                    
poki tona                      Compound word   Category:Poki tona (toki pona)                    
pona ala                       Compound word   Category:Pona ala (toki pona)                     
pona lili                      Compound word   Category:Pona lili (toki pona)                    
pona mute                      Compound word   Category:Pona mute (toki pona)                    
selo len                       Compound word   Category:Selo len (toki pona)                     
selo soweli                    Compound word   Category:Selo soweli (toki pona)                  
sike lili                      Compound word   Category:Sike lili (toki pona)                    
sitelen ike                    Compound word   Category:Sitelen ike (toki pona)                  
sitelen monsuta                Compound word   Category:Sitelen monsuta (toki pona)              
sona ala                       Compound word   Category:Sona ala (toki pona)                     
sona ike                       Compound word   Category:Sona ike (toki pona)                     
sona lili                      Compound word   Category:Sona lili (toki pona)                    
sona tenpo                     Compound word   Category:Sona tenpo (toki pona)                   
sona utala                     Compound word   Category:Sona utala (toki pona)                   
soweli kijetesantakalu         Compound word   Category:Soweli kijetesantakalu (toki pona)       
supa lawa                      Compound word   Category:Supa lawa (toki pona)                    
supa lupa                      Compound word   Category:Supa lupa (toki pona)                    
supa moku                      Compound word   Category:Supa moku (toki pona)                    
supa pali                      Compound word   Category:Supa pali (toki pona)                    
tawa pona                      Compound word   Category:Tawa pona (toki pona)                    
tawa sona                      Compound word   Category:Tawa sona (toki pona)                    
telo lete                      Compound word   Category:Telo lete (toki pona)                    
telo lili                      Compound word   Category:Telo lili (toki pona)                    
telo sitelen                   Compound word   Category:Telo sitelen (toki pona)                 
tenpo ike                      Compound word   Category:Tenpo ike (toki pona)                    
tenpo pona                     Compound word   Category:Tenpo pona (toki pona)                   
toki ala                       Compound word   Category:Toki ala (toki pona)                     
toki ike                       Compound word   Category:Toki ike (toki pona)                     
toki pona ligatures            Compound word   Category:Toki pona ligatures                      
toki utala                     Compound word   Category:Toki utala (toki pona)                   
tomo lape                      Compound word   Category:Tomo lape (toki pona)                    
tomo mani                      Compound word   Category:Tomo mani (toki pona)                    
tomo monsuta                   Compound word   Category:Tomo monsuta (toki pona)                 
tomo nasin                     Compound word   Category:Tomo nasin (toki pona)                   
tomo ni                        Compound word   Category:Tomo ni (toki pona)                      
tomo pali                      Compound word   Category:Tomo pali (toki pona)                    
tomo telo                      Compound word   Category:Tomo telo (toki pona)                    
tomo unpa                      Compound word   Category:Tomo unpa (toki pona)                    
tonsi ike                      Compound word   Category:Tonsi ike (toki pona)                    
tonsi lili                     Compound word   Category:Tonsi lili (toki pona)                   
tonsi pona                     Compound word   Category:Tonsi pona (toki pona)                   
tonsi sama                     Compound word   Category:Tonsi sama (toki pona)                   
tonsi sin                      Compound word   Category:Tonsi sin (toki pona)                    
tonsi unpa                     Compound word   Category:Tonsi unpa (toki pona)                   
tonsi wawa                     Compound word   Category:Tonsi wawa (toki pona)                   
tu luka                        Compound word   Category:Tu luka (toki pona)                      
walo jelo                      Compound word   Category:Walo jelo (toki pona)                    
walo laso                      Compound word   Category:Walo laso (toki pona)                    
walo loje                      Compound word   Category:Walo loje (toki pona)                    
walo pimeja                    Compound word   Category:Walo pimeja (toki pona)                  
wan luka                       Compound word   Category:Wan luka (toki pona)                     
wan tu                         Compound word   Category:Wan tu (toki pona)                       
wawa tenpo                     Compound word   Category:Wawa tenpo (toki pona)                   
sitelen Pona ligatures         Base word       Category:Sitelen Pona ligatures                   
toki Pona Logograms unsorted by word Base word       Category:Toki Pona Logograms unsorted by word     
toki pona rare words           Base word       Category:Toki pona rare words                     
aAANUSEMEmailMahjong           Rare word       Category:AAANUSEMEmailMahjong (toki pona)         
aasun                          Rare word       Category:Aasun (toki pona)                        
aja                            Rare word       Category:Aja (toki pona)                          
aka                            Rare word       Category:Aka (toki pona)                          
ako                            Rare word       Category:Ako (toki pona)                          
aku                            Rare word       Category:Aku (toki pona)                          
alente                         Rare word       Category:Alente (toki pona)                       
alisa                          Rare word       Category:Alisa (toki pona)                        
alu                            Rare word       Category:Alu (toki pona)                          
amanka                         Rare word       Category:Amanka (toki pona)                       
amelin                         Rare word       Category:Amelin (toki pona)                       
ana                            Rare word       Category:Ana (toki pona)                          
ani                            Rare word       Category:Ani (toki pona)                          
ansu                           Rare word       Category:Ansu (toki pona)                         
anta                           Rare word       Category:Anta (toki pona)                         
antepan                        Rare word       Category:Antepan (toki pona)                      
antikontitutonelema            Rare word       Category:Antikontitutonelema (toki pona)          
apelo                          Rare word       Category:Apelo (toki pona)                        
api                            Rare word       Category:Api (toki pona)                          
asiku                          Rare word       Category:Asiku (toki pona)                        
asu                            Rare word       Category:Asu (toki pona)                          
asuki                          Rare word       Category:Asuki (toki pona)                        
asuto                          Rare word       Category:Asuto (toki pona)                        
atu                            Rare word       Category:Atu (toki pona)                          
awase                          Rare word       Category:Awase (toki pona)                        
eki                            Rare word       Category:Eki (toki pona)                          
eni                            Rare word       Category:Eni (toki pona)                          
enko                           Rare word       Category:Enko (toki pona)                         
epikule                        Rare word       Category:Epikule (toki pona)                      
fairfax                        Rare word       Category:Fairfax (toki pona)                      
hD                             Rare word       Category:HD (toki pona)                           
iki                            Rare word       Category:Iki (toki pona)                          
ilaje                          Rare word       Category:Ilaje (toki pona)                        
ilapa                          Rare word       Category:Ilapa (toki pona)                        
inta                           Rare word       Category:Inta (toki pona)                         
ipan                           Rare word       Category:Ipan (toki pona)                         
ipawi                          Rare word       Category:Ipawi (toki pona)                        
ipi                            Rare word       Category:Ipi (toki pona)                          
iseja                          Rare word       Category:Iseja (toki pona)                        
iseki                          Rare word       Category:Iseki (toki pona)                        
isipin                         Rare word       Category:Isipin (toki pona)                       
itomi                          Rare word       Category:Itomi (toki pona)                        
ja                             Rare word       Category:Ja (toki pona)                           
jalan                          Rare word       Category:Jalan (toki pona)                        
jalepu                         Rare word       Category:Jalepu (toki pona)                       
jami                           Rare word       Category:Jami (toki pona)                         
jans                           Rare word       Category:Jans (toki pona)                         
jasun                          Rare word       Category:Jasun (toki pona)                        
je                             Rare word       Category:Je (toki pona)                           
jesi                           Rare word       Category:Jesi (toki pona)                         
jew                            Rare word       Category:Jew (toki pona)                          
jonatan                        Rare word       Category:Jonatan (toki pona)                      
ju                             Rare word       Category:Ju (toki pona)                           
jule                           Rare word       Category:Jule (toki pona)                         
jules                          Rare word       Category:Jules (toki pona)                        
jume                           Rare word       Category:Jume (toki pona)                         
juniko                         Rare word       Category:Juniko (toki pona)                       
jusijesuwa                     Rare word       Category:Jusijesuwa (toki pona)                   
kaken                          Rare word       Category:Kaken (toki pona)                        
kalamARR                       Rare word       Category:KalamARR (toki pona)                     
kalijopilale                   Rare word       Category:Kalijopilale (toki pona)                 
kalu                           Rare word       Category:Kalu (toki pona)                         
kamalawala                     Rare word       Category:Kamalawala (toki pona)                   
kan                            Rare word       Category:Kan (toki pona)                          
kana                           Rare word       Category:Kana (toki pona)                         
kani                           Rare word       Category:Kani (toki pona)                         
kankuli                        Rare word       Category:Kankuli (toki pona)                      
kapa                           Rare word       Category:Kapa (toki pona)                         
kapesi                         Rare word       Category:Kapesi (toki pona)                       
kapilu                         Rare word       Category:Kapilu (toki pona)                       
ke                             Rare word       Category:Ke (toki pona)                           
kekanSan                       Rare word       Category:KekanSan (toki pona)                     
kekantesantakalu               Rare word       Category:Kekantesantakalu (toki pona)             
keli                           Rare word       Category:Keli (toki pona)                         
kelo                           Rare word       Category:Kelo (toki pona)                         
kemu                           Rare word       Category:Kemu (toki pona)                         
kepa                           Rare word       Category:Kepa (toki pona)                         
kepen                          Rare word       Category:Kepen (toki pona)                        
kepi                           Rare word       Category:Kepi (toki pona)                         
kese                           Rare word       Category:Kese (toki pona)                         
keTami                         Rare word       Category:KeTami (toki pona)                       
kewe                           Rare word       Category:Kewe (toki pona)                         
ki                             Rare word       Category:Ki (toki pona)                           
kijan                          Rare word       Category:Kijan (toki pona)                        
kije                           Rare word       Category:Kije (toki pona)                         
kijesankalu                    Rare word       Category:Kijesankalu (toki pona)                  
kijete                         Rare word       Category:Kijete (toki pona)                       
kijosin                        Rare word       Category:Kijosin (toki pona)                      
kiki                           Rare word       Category:Kiki (toki pona)                         
kikolo                         Rare word       Category:Kikolo (toki pona)                       
kikulo                         Rare word       Category:Kikulo (toki pona)                       
kinute                         Rare word       Category:Kinute (toki pona)                       
kita                           Rare word       Category:Kita (toki pona)                         
kitu                           Rare word       Category:Kitu (toki pona)                         
koko                           Rare word       Category:Koko (toki pona)                         
kolisin                        Rare word       Category:Kolisin (toki pona)                      
kolo                           Rare word       Category:Kolo (toki pona)                         
koni                           Rare word       Category:Koni (toki pona)                         
konsi                          Rare word       Category:Konsi (toki pona)                        
konwe                          Rare word       Category:Konwe (toki pona)                        
kosan                          Rare word       Category:Kosan (toki pona)                        
kosikosa                       Rare word       Category:Kosikosa (toki pona)                     
kulepiku                       Rare word       Category:Kulepiku (toki pona)                     
kulijo                         Rare word       Category:Kulijo (toki pona)                       
kulu                           Rare word       Category:Kulu (toki pona)                         
kuntu                          Rare word       Category:Kuntu (toki pona)                        
lan                            Rare word       Category:Lan (toki pona)                          
lansan                         Rare word       Category:Lansan (toki pona)                       
lato                           Rare word       Category:Lato (toki pona)                         
lenlen                         Rare word       Category:Lenlen (toki pona)                       
lepeka                         Rare word       Category:Lepeka (toki pona)                       
lijokuku                       Rare word       Category:Lijokuku (toki pona)                     
likujo                         Rare word       Category:Likujo (toki pona)                       
linku                          Rare word       Category:Linku (toki pona)                        
linuwi                         Rare word       Category:Linuwi (toki pona)                       
lipamanka                      Rare word       Category:Lipamanka (toki pona)                    
lisana                         Rare word       Category:Lisana (toki pona)                       
lo                             Rare word       Category:Lo (toki pona)                           
loka                           Rare word       Category:Loka (toki pona)                         
lokon                          Rare word       Category:Lokon (toki pona)                        
lokoso                         Rare word       Category:Lokoso (toki pona)                       
losupan                        Rare word       Category:Losupan (toki pona)                      
lu                             Rare word       Category:Lu (toki pona)                           
luke                           Rare word       Category:Luke (toki pona)                         
luna                           Rare word       Category:Luna (toki pona)                         
majeka                         Rare word       Category:Majeka (toki pona)                       
maki                           Rare word       Category:Maki (toki pona)                         
mako                           Rare word       Category:Mako (toki pona)                         
mamasi                         Rare word       Category:Mamasi (toki pona)                       
mamasina                       Rare word       Category:Mamasina (toki pona)                     
manka                          Rare word       Category:Manka (toki pona)                        
masalo                         Rare word       Category:Masalo (toki pona)                       
masenta                        Rare word       Category:Masenta (toki pona)                      
masu                           Rare word       Category:Masu (toki pona)                         
matula                         Rare word       Category:Matula (toki pona)                       
me                             Rare word       Category:Me (toki pona)                           
medium                         Rare word       Category:Medium (toki pona)                       
mekuwi                         Rare word       Category:Mekuwi (toki pona)                       
melinjakulekule                Rare word       Category:Melinjakulekule (toki pona)              
