QuickStatements to CREATE Wikidata items for ALL rare Toki Pona words
========================================================================================================================

Total items to create: 313
  With sona.pona.la: 10
  With image: 313
  With concept link: 0

Word                      Commons Category                                        SP   Img  Concept     
ilaj                      Category:Ilaje (toki pona)                              No   Yes  N/A         
ilap                      Category:Ilapa (toki pona)                              No   Yes  N/A         
int                       Category:Inta (toki pona)                               No   Yes  N/A         
ip                        Category:Ipi (toki pona)                                No   Yes  N/A         
ipa                       Category:Ipan (toki pona)                               No   Yes  N/A         
ipaw                      Category:Ipawi (toki pona)                              No   Yes  N/A         
isej                      Category:Iseja (toki pona)                              No   Yes  N/A         
isek                      Category:Iseki (toki pona)                              No   Yes  N/A         
isipi                     Category:Isipin (toki pona)                             No   Yes  N/A         
itom                      Category:Itomi (toki pona)                              No   Yes  N/A         
j                         Category:Ja (toki pona)                                 No   Yes  N/A         
j                         Category:Je (toki pona)                                 No   Yes  N/A         
j                         Category:Ju (toki pona)                                 No   Yes  N/A         
jak                       Category:Jaku (toki pona)                               No   Yes  N/A         
jala                      Category:Jalan (toki pona)                              No   Yes  N/A         
jalep                     Category:Jalepu (toki pona)                             No   Yes  N/A         
jam                       Category:Jami (toki pona)                               No   Yes  N/A         
jan                       Category:Jans (toki pona)                               No   Yes  N/A         
jasu                      Category:Jasun (toki pona)                              No   Yes  N/A         
je                        Category:Jew (toki pona)                                Yes  Yes  N/A         
jes                       Category:Jesi (toki pona)                               No   Yes  N/A         
jet                       Category:Jete (toki pona)                               No   Yes  N/A         
jonata                    Category:Jonatan (toki pona)                            No   Yes  N/A         
jonk                      Category:Jonke (toki pona)                              No   Yes  N/A         
jul                       Category:Jule (toki pona)                               No   Yes  N/A         
jule                      Category:Jules (toki pona)                              Yes  Yes  N/A         
jum                       Category:Jume (toki pona)                               No   Yes  N/A         
junik                     Category:Juniko (toki pona)                             No   Yes  N/A         
jusijesuw                 Category:Jusijesuwa (toki pona)                         No   Yes  N/A         
jusis                     Category:Jusisa (toki pona)                             No   Yes  N/A         
k                         Category:Ke (toki pona)                                 No   Yes  N/A         
k                         Category:Ki (toki pona)                                 No   Yes  N/A         
ka                        Category:Kan (toki pona)                                Yes  Yes  N/A         
kake                      Category:Kaken (toki pona)                              No   Yes  N/A         
kal                       Category:Kalu (toki pona)                               No   Yes  N/A         
kalapisituw               Category:Kalapisituwi (toki pona)                       No   Yes  N/A         
kalijopilal               Category:Kalijopilale (toki pona)                       No   Yes  N/A         
kamalawal                 Category:Kamalawala (toki pona)                         No   Yes  N/A         
kan                       Category:Kana (toki pona)                               Yes  Yes  N/A         
kan                       Category:Kani (toki pona)                               Yes  Yes  N/A         
kankul                    Category:Kankuli (toki pona)                            No   Yes  N/A         
kap                       Category:Kapa (toki pona)                               No   Yes  N/A         
kapes                     Category:Kapesi (toki pona)                             No   Yes  N/A         
kapil                     Category:Kapilu (toki pona)                             No   Yes  N/A         
kekantesantakal           Category:Kekantesantakalu (toki pona)                   No   Yes  N/A         
kel                       Category:Keli (toki pona)                               No   Yes  N/A         
kel                       Category:Kelo (toki pona)                               No   Yes  N/A         
kem                       Category:Kemu (toki pona)                               No   Yes  N/A         
kep                       Category:Kepa (toki pona)                               No   Yes  N/A         
kep                       Category:Kepi (toki pona)                               No   Yes  N/A         
kepe                      Category:Kepen (toki pona)                              No   Yes  N/A         
kes                       Category:Kese (toki pona)                               No   Yes  N/A         
kew                       Category:Kewe (toki pona)                               No   Yes  N/A         
kij                       Category:Kije (toki pona)                               No   Yes  N/A         
kija                      Category:Kijan (toki pona)                              No   Yes  N/A         
kijesankal                Category:Kijesankalu (toki pona)                        No   Yes  N/A         
kijet                     Category:Kijete (toki pona)                             No   Yes  N/A         
kijosi                    Category:Kijosin (toki pona)                            No   Yes  N/A         
kik                       Category:Kiki (toki pona)                               No   Yes  N/A         
kikol                     Category:Kikolo (toki pona)                             No   Yes  N/A         
kikul                     Category:Kikulo (toki pona)                             No   Yes  N/A         
kinut                     Category:Kinute (toki pona)                             No   Yes  N/A         
kis                       Category:Kisa (toki pona)                               No   Yes  N/A         
kit                       Category:Kita (toki pona)                               No   Yes  N/A         
kit                       Category:Kitu (toki pona)                               No   Yes  N/A         
kok                       Category:Koko (toki pona)                               No   Yes  N/A         
kokolik                   Category:Kokoliko (toki pona)                           No   Yes  N/A         
kol                       Category:Kolo (toki pona)                               No   Yes  N/A         
kolisi                    Category:Kolisin (toki pona)                            No   Yes  N/A         
kon                       Category:Koni (toki pona)                               No   Yes  N/A         
kons                      Category:Konsi (toki pona)                              No   Yes  N/A         
konw                      Category:Konwe (toki pona)                              No   Yes  N/A         
kosa                      Category:Kosan (toki pona)                              Yes  Yes  N/A         
kosikos                   Category:Kosikosa (toki pona)                           No   Yes  N/A         
kul                       Category:Kulu (toki pona)                               No   Yes  N/A         
kulas                     Category:Kulaso (toki pona)                             No   Yes  N/A         
kulepik                   Category:Kulepiku (toki pona)                           No   Yes  N/A         
kulij                     Category:Kulijo (toki pona)                             No   Yes  N/A         
kunt                      Category:Kuntu (toki pona)                              No   Yes  N/A         
kutopom                   Category:Kutopoma (toki pona)                           No   Yes  N/A         
l                         Category:Lo (toki pona)                                 No   Yes  N/A         
l                         Category:Lu (toki pona)                                 No   Yes  N/A         
la                        Category:Lan (toki pona)                                No   Yes  N/A         
lansa                     Category:Lansan (toki pona)                             No   Yes  N/A         
lap                       Category:Lape (toki pona)                               No   Yes  N/A         
las                       Category:Laso (toki pona)                               No   Yes  N/A         
lat                       Category:Lato (toki pona)                               No   Yes  N/A         
law                       Category:Lawa (toki pona)                               No   Yes  N/A         
lenle                     Category:Lenlen (toki pona)                             No   Yes  N/A         
lepek                     Category:Lepeka (toki pona)                             No   Yes  N/A         
lijokuk                   Category:Lijokuku (toki pona)                           No   Yes  N/A         
likuj                     Category:Likujo (toki pona)                             No   Yes  N/A         
linj                      Category:Linja (toki pona)                              No   Yes  N/A         
link                      Category:Linku (toki pona)                              No   Yes  N/A         
linluw                    Category:Linluwi (toki pona)                            No   Yes  N/A         
linuw                     Category:Linuwi (toki pona)                             No   Yes  N/A         
lipamank                  Category:Lipamanka (toki pona)                          No   Yes  N/A         
lisan                     Category:Lisana (toki pona)                             No   Yes  N/A         
loj                       Category:Loje (toki pona)                               No   Yes  N/A         
lok                       Category:Loka (toki pona)                               No   Yes  N/A         
loko                      Category:Lokon (toki pona)                              No   Yes  N/A         
lokos                     Category:Lokoso (toki pona)                             No   Yes  N/A         
losupa                    Category:Losupan (toki pona)                            No   Yes  N/A         
luk                       Category:Luke (toki pona)                               No   Yes  N/A         
lun                       Category:Luna (toki pona)                               No   Yes  N/A         
m                         Category:Me (toki pona)                                 No   Yes  N/A         
majek                     Category:Majeka (toki pona)                             No   Yes  N/A         
mak                       Category:Maki (toki pona)                               No   Yes  N/A         
mak                       Category:Mako (toki pona)                               No   Yes  N/A         
mamas                     Category:Mamasi (toki pona)                             No   Yes  N/A         
mamasin                   Category:Mamasina (toki pona)                           No   Yes  N/A         
mank                      Category:Manka (toki pona)                              No   Yes  N/A         
mas                       Category:Masu (toki pona)                               No   Yes  N/A         
masal                     Category:Masalo (toki pona)                             No   Yes  N/A         
masent                    Category:Masenta (toki pona)                            No   Yes  N/A         
matul                     Category:Matula (toki pona)                             No   Yes  N/A         
mediu                     Category:Medium (toki pona)                             No   Yes  N/A         
mekuw                     Category:Mekuwi (toki pona)                             No   Yes  N/A         
melinjakulekul            Category:Melinjakulekule (toki pona)                    No   Yes  N/A         
melom                     Category:Melome (toki pona)                             No   Yes  N/A         
mijom                     Category:Mijomi (toki pona)                             No   Yes  N/A         
mik                       Category:Miko (toki pona)                               No   Yes  N/A         
mil                       Category:Mila (toki pona)                               No   Yes  N/A         
mimuk                     Category:Mimuki (toki pona)                             No   Yes  N/A         
mis                       Category:Misa (toki pona)                               No   Yes  N/A         
molus                     Category:Molusa (toki pona)                             No   Yes  N/A         
mon                       Category:Mono (toki pona)                               No   Yes  N/A         
mota                      Category:Motan (toki pona)                              No   Yes  N/A         
mulapis                   Category:Mulapisu (toki pona)                           No   Yes  N/A         
n                         Category:Nu (toki pona)                                 No   Yes  N/A         
na                        Category:Nan (toki pona)                                No   Yes  N/A         
nalanj                    Category:Nalanja (toki pona)                            No   Yes  N/A         
nalasun                   Category:Nalasuni (toki pona)                           No   Yes  N/A         
nan                       Category:Nano (toki pona)                               Yes  Yes  N/A         
nasuli                    Category:Nasulin (toki pona)                            No   Yes  N/A         
nat                       Category:Nata (toki pona)                               No   Yes  N/A         
nat                       Category:Natu (toki pona)                               No   Yes  N/A         
nej                       Category:Neja (toki pona)                               No   Yes  N/A         
nel                       Category:Nele (toki pona)                               No   Yes  N/A         
nik                       Category:Niko (toki pona)                               No   Yes  N/A         
nil                       Category:Nili (toki pona)                               No   Yes  N/A         
nimisi                    Category:Nimisin (toki pona)                            No   Yes  N/A         
nit                       Category:Nito (toki pona)                               No   Yes  N/A         
nj                        Category:Nja (toki pona)                                No   Yes  N/A         
nls                       Category:Nlsn (toki pona)                               No   Yes  N/A         
now                       Category:Nowi (toki pona)                               No   Yes  N/A         
nusu                      Category:Nusun (toki pona)                              No   Yes  N/A         
nuta                      Category:Nutan (toki pona)                              No   Yes  N/A         
nuw                       Category:Nuwa (toki pona)                               No   Yes  N/A         
ojut                      Category:Ojuta (toki pona)                              No   Yes  N/A         
ok                        Category:Oke (toki pona)                                No   Yes  N/A         
ok                        Category:Oki (toki pona)                                No   Yes  N/A         
okepum                    Category:Okepuma (toki pona)                            No   Yes  N/A         
olal                      Category:Olala (toki pona)                              No   Yes  N/A         
ome                       Category:Omen (toki pona)                               No   Yes  N/A         
omekalik                  Category:Omekalike (toki pona)                          No   Yes  N/A         
omekap                    Category:Omekapo (toki pona)                            No   Yes  N/A         
on                        Category:Oni (toki pona)                                No   Yes  N/A         
onon                      Category:Onono (toki pona)                              No   Yes  N/A         
op                        Category:Opa (toki pona)                                No   Yes  N/A         
opasa                     Category:Opasan (toki pona)                             No   Yes  N/A         
ow                        Category:Owe (toki pona)                                No   Yes  N/A         
p                         Category:Pa (toki pona)                                 No   Yes  N/A         
p                         Category:Pe (toki pona)                                 No   Yes  N/A         
pak                       Category:Paka (toki pona)                               No   Yes  N/A         
pakol                     Category:Pakola (toki pona)                             No   Yes  N/A         
palens                    Category:Palensi (toki pona)                            No   Yes  N/A         
pam                       Category:Pami (toki pona)                               No   Yes  N/A         
pank                      Category:Panke (toki pona)                              No   Yes  N/A         
panpa                     Category:Panpan (toki pona)                             No   Yes  N/A         
pasil                     Category:Pasila (toki pona)                             No   Yes  N/A         
penp                      Category:Penpo (toki pona)                              No   Yes  N/A         
pens                      Category:Pensa (toki pona)                              No   Yes  N/A         
pet                       Category:Peto (toki pona)                               No   Yes  N/A         
pik                       Category:Pika (toki pona)                               No   Yes  N/A         
ping                      Category:Pingo (toki pona)                              No   Yes  N/A         
pip                       Category:Pipo (toki pona)                               No   Yes  N/A         
pipol                     Category:Pipolo (toki pona)                             No   Yes  N/A         
polinpi                   Category:Polinpin (toki pona)                           No   Yes  N/A         
poma                      Category:Poman (toki pona)                              No   Yes  N/A         
pomotol                   Category:Pomotolo (toki pona)                           No   Yes  N/A         
pon                       Category:Poni (toki pona)                               No   Yes  N/A         
pul                       Category:Pula (toki pona)                               No   Yes  N/A         
pulas                     Category:Pulaso (toki pona)                             No   Yes  N/A         
puw                       Category:Puwa (toki pona)                               No   Yes  N/A         
saj                       Category:Saja (toki pona)                               No   Yes  N/A         
salantapotalus            Category:Salantapotalusa (toki pona)                    No   Yes  N/A         
sam                       Category:Samu (toki pona)                               No   Yes  N/A         
sami                      Category:Samin (toki pona)                              No   Yes  N/A         
sant                      Category:Santa (toki pona)                              No   Yes  N/A         
sapelipop                 Category:Sapelipope (toki pona)                         No   Yes  N/A         
satu                      Category:Satun (toki pona)                              No   Yes  N/A         
sek                       Category:Seka (toki pona)                               No   Yes  N/A         
sek                       Category:Seki (toki pona)                               No   Yes  N/A         
siiilap                   Category:Siiilapa (toki pona)                           No   Yes  N/A         
siilap                    Category:Siilapa (toki pona)                            No   Yes  N/A         
sijal                     Category:Sijala (toki pona)                             No   Yes  N/A         
sijesuw                   Category:Sijesuwa (toki pona)                           No   Yes  N/A         
sikak                     Category:Sikako (toki pona)                             No   Yes  N/A         
sikom                     Category:Sikomo (toki pona)                             No   Yes  N/A         
silan                     Category:Silani (toki pona)                             No   Yes  N/A         
silap                     Category:Silapa (toki pona)                             No   Yes  N/A         
sip                       Category:Sipi (toki pona)                               No   Yes  N/A         
sipij                     Category:Sipije (toki pona)                             No   Yes  N/A         
sis                       Category:Sisa (toki pona)                               No   Yes  N/A         
sis                       Category:Sisi (toki pona)                               No   Yes  N/A         
siwa                      Category:Siwan (toki pona)                              No   Yes  N/A         
siwal                     Category:Siwala (toki pona)                             No   Yes  N/A         
slap                      Category:Slape (toki pona)                              No   Yes  N/A         
snowel                    Category:Snoweli (toki pona)                            No   Yes  N/A         
sokel                     Category:Sokeli (toki pona)                             No   Yes  N/A         
son                       Category:Soni (toki pona)                               No   Yes  N/A         
sot                       Category:Soto (toki pona)                               No   Yes  N/A         
sowol                     Category:Sowoli (toki pona)                             No   Yes  N/A         
stell                     Category:Stella (toki pona)                             No   Yes  N/A         
suk                       Category:Suke (toki pona)                               No   Yes  N/A         
sulas                     Category:Sulaso (toki pona)                             No   Yes  N/A         
sunt                      Category:Sunta (toki pona)                              No   Yes  N/A         
sutopatikun               Category:Sutopatikuna (toki pona)                       No   Yes  N/A         
t                         Category:Ta (toki pona)                                 No   Yes  N/A         
t                         Category:Te (toki pona)                                 No   Yes  N/A         
t                         Category:To (toki pona)                                 No   Yes  N/A         
ta                        Category:Taa (toki pona)                                Yes  Yes  N/A         
taaasu                    Category:Taaasun (toki pona)                            No   Yes  N/A         
taasu                     Category:Taasun (toki pona)                             No   Yes  N/A         
tak                       Category:Taki (toki pona)                               No   Yes  N/A         
tasu                      Category:Tasun (toki pona)                              No   Yes  N/A         
tawak                     Category:Tawake (toki pona)                             No   Yes  N/A         
te                        Category:Ten (toki pona)                                Yes  Yes  N/A         
tej                       Category:Teje (toki pona)                               No   Yes  N/A         
teke                      Category:Teken (toki pona)                              No   Yes  N/A         
tem                       Category:Temi (toki pona)                               No   Yes  N/A         
tenp                      Category:Tenpi (toki pona)                              No   Yes  N/A         
tens                      Category:Tensi (toki pona)                              No   Yes  N/A         
tokan                     Category:Tokana (toki pona)                             No   Yes  N/A         
toke                      Category:Token (toki pona)                              No   Yes  N/A         
tom                       Category:Toma (toki pona)                               No   Yes  N/A         
ton                       Category:Tona (toki pona)                               No   Yes  N/A         
tonpit                    Category:Tonpite (toki pona)                            No   Yes  N/A         
tony                      Category:Tonyu (toki pona)                              No   Yes  N/A         
top                       Category:Topo (toki pona)                               No   Yes  N/A         
towa                      Category:Towan (toki pona)                              No   Yes  N/A         
tuw                       Category:Tuwa (toki pona)                               No   Yes  N/A         
uk                        Category:Uka (toki pona)                                No   Yes  N/A         
umes                      Category:Umesu (toki pona)                              No   Yes  N/A         
un                        Category:Unu (toki pona)                                No   Yes  N/A         
unikijetesantakal         Category:Unikijetesantakalu (toki pona)                 No   Yes  N/A         
usaw                      Category:Usawi (toki pona)                              No   Yes  N/A         
viv                       Category:Vivi (toki pona)                               No   Yes  N/A         
votgi                     Category:Votgil (toki pona)                             No   Yes  N/A         
vrisk                     Category:Vriska (toki pona)                             No   Yes  N/A         
w                         Category:Wa (toki pona)                                 No   Yes  N/A         
w                         Category:We (toki pona)                                 No   Yes  N/A         
w                         Category:Wi (toki pona)                                 No   Yes  N/A         
waj                       Category:Waje (toki pona)                               No   Yes  N/A         
wakalit                   Category:Wakalito (toki pona)                           No   Yes  N/A         
wake                      Category:Waken (toki pona)                              No   Yes  N/A         
walej                     Category:Waleja (toki pona)                             No   Yes  N/A         
wasowel                   Category:Wasoweli (toki pona)                           No   Yes  N/A         
wawajet                   Category:Wawajete (toki pona)                           No   Yes  N/A         
we                        Category:Wen (toki pona)                                Yes  Yes  N/A         
wek                       Category:Weko (toki pona)                               No   Yes  N/A         
wekam                     Category:Wekama (toki pona)                             No   Yes  N/A         
wij                       Category:Wiju (toki pona)                               No   Yes  N/A         
wik                       Category:Wiki (toki pona)                               No   Yes  N/A         
wikipesij                 Category:Wikipesija (toki pona)                         No   Yes  N/A         
wiw                       Category:Wiwi (toki pona)                               No   Yes  N/A         
wowujit                   Category:Wowujiti (toki pona)                           No   Yes  N/A         
wuwojit                   Category:Wuwojiti (toki pona)                           No   Yes  N/A         
yupekos                   Category:Yupekosi (toki pona)                           No   Yes  N/A         
yut                       Category:Yutu (toki pona)                               No   Yes  N/A         
