P18 (image) QuickStatements for newly created Wikidata items
================================================================================

Total items: 646

QID             Word                           SVG Filename                            
Q137763490      laso telo                      Sitelen-seli-kiwen-laso-telo.svg        
Q137763491      len jan                        Sitelen-seli-kiwen-len-jan.svg          
Q137763492      len jelo                       Sitelen-seli-kiwen-len-jelo.svg         
Q137763494      len laso                       Sitelen-seli-kiwen-len-laso.svg         
Q137763495      len lili                       Sitelen-seli-kiwen-len-lili.svg         
Q137763496      len loje                       Sitelen-seli-kiwen-len-loje.svg         
Q137763497      len luka                       Sitelen-seli-kiwen-len-luka.svg         
Q137763499      len pimeja                     Sitelen-seli-kiwen-len-pimeja.svg       
Q137763501      len sin                        Sitelen-seli-kiwen-len-sin.svg          
Q137763502      len walo                       Sitelen-seli-kiwen-len-walo.svg         
Q137763503      linja lili                     Sitelen-seli-kiwen-linja-lili.svg       
Q137763504      linja suwi                     Sitelen-seli-kiwen-linja-suwi.svg       
Q137763505      lipu kasi                      Sitelen-seli-kiwen-lipu-kasi.svg        
Q137763506      lipu majuna                    Sitelen-seli-kiwen-lipu-majuna.svg      
Q137763507      lipu nanpa                     Sitelen-seli-kiwen-lipu-nanpa.svg       
Q137763509      lipu unpa                      Sitelen-seli-kiwen-lipu-unpa.svg        
Q137763510      loje jelo                      Sitelen-seli-kiwen-loje-jelo.svg        
Q137763511      loje walo                      Sitelen-seli-kiwen-loje-walo.svg        
Q137763512      luka luka luka luka            Sitelen-seli-kiwen-luka-luka-luka-luka.svg
Q137763513      luka luka luka tu              Sitelen-seli-kiwen-luka-luka-luka-tu.svg
Q137763515      luka luka luka tu tu           Sitelen-seli-kiwen-luka-luka-luka-tu-tu.svg
Q137763516      luka luka luka tu wan          Sitelen-seli-kiwen-luka-luka-luka-tu-wan.svg
Q137763517      luka luka luka wan             Sitelen-seli-kiwen-luka-luka-luka-wan.svg
Q137763518      luka luka luka wan tu          Sitelen-seli-kiwen-luka-luka-luka-wan-tu.svg
Q137763519      luka luka wan tu               Sitelen-seli-kiwen-luka-luka-wan-tu.svg 
Q137763520      luka wan tu                    Sitelen-seli-kiwen-luka-wan-tu.svg      
Q137763521      lupa jaki                      Sitelen-seli-kiwen-lupa-jaki.svg        
Q137763522      lupa kiwen                     Sitelen-seli-kiwen-lupa-kiwen.svg       
Q137763524      lupa kute                      Sitelen-seli-kiwen-lupa-kute.svg        
Q137763525      lupa lili                      Sitelen-seli-kiwen-lupa-lili.svg        
Q137763526      lupa nena                      Sitelen-seli-kiwen-lupa-nena.svg        
Q137763527      lupa tomo                      Sitelen-seli-kiwen-lupa-tomo.svg        
Q137763528      ma ike                         Sitelen-seli-kiwen-ma-ike.svg           
Q137763529      ma kasi                        Sitelen-seli-kiwen-ma-kasi.svg          
Q137763530      ma ni                          Sitelen-seli-kiwen-ma-ni.svg            
Q137763532      mama mama                      Sitelen-seli-kiwen-mama-mama.svg        
Q137763533      mama meli                      Sitelen-seli-kiwen-mama-meli.svg        
Q137763534      mama mije                      Sitelen-seli-kiwen-mama-mije.svg        
Q137763535      mama tonsi                     Sitelen-seli-kiwen-mama-tonsi.svg       
Q137763536      meli ike                       Sitelen-seli-kiwen-meli-ike.svg         
Q137763537      meli lili                      Sitelen-seli-kiwen-meli-lili.svg        
Q137763538      meli mije                      Sitelen-seli-kiwen-meli-mije.svg        
Q137763539      meli pona                      Sitelen-seli-kiwen-meli-pona.svg        
Q137763541      meli sama                      Sitelen-seli-kiwen-meli-sama.svg        
Q137763542      meli unpa                      Sitelen-seli-kiwen-meli-unpa.svg        
Q137763543      meli wawa                      Sitelen-seli-kiwen-meli-wawa.svg        
Q137763544      mije ike                       Sitelen-seli-kiwen-mije-ike.svg         
Q137763545      mije lili                      Sitelen-seli-kiwen-mije-lili.svg        
Q137763546      mije meli                      Sitelen-seli-kiwen-mije-meli.svg        
Q137763548      mije pona                      Sitelen-seli-kiwen-mije-pona.svg        
Q137763550      mije sama                      Sitelen-seli-kiwen-mije-sama.svg        
Q137763551      mije unpa                      Sitelen-seli-kiwen-mije-unpa.svg        
Q137763552      mije wawa                      Sitelen-seli-kiwen-mije-wawa.svg        
Q137763553      musi lili                      Sitelen-seli-kiwen-musi-lili.svg        
Q137763554      mute mute                      Sitelen-seli-kiwen-mute-mute.svg        
Q137763555      nena lili                      Sitelen-seli-kiwen-nena-lili.svg        
Q137763556      nena meli                      Sitelen-seli-kiwen-nena-meli.svg        
Q137763558      pilin ala                      Sitelen-seli-kiwen-pilin-ala.svg        
Q137763559      pilin nasa                     Sitelen-seli-kiwen-pilin-nasa.svg       
Q137763560      pilin pakala                   Sitelen-seli-kiwen-pilin-pakala.svg     
Q137763562      pilin sama                     Sitelen-seli-kiwen-pilin-sama.svg       
Q137763563      pilin seme                     Sitelen-seli-kiwen-pilin-seme.svg       
Q137763564      pimeja jelo                    Sitelen-seli-kiwen-pimeja-jelo.svg      
Q137763565      pimeja laso                    Sitelen-seli-kiwen-pimeja-laso.svg      
Q137763566      pimeja loje                    Sitelen-seli-kiwen-pimeja-loje.svg      
Q137763567      poki kon                       Sitelen-seli-kiwen-poki-kon.svg         
Q137763568      poki lete                      Sitelen-seli-kiwen-poki-lete.svg        
Q137763569      poki seli                      Sitelen-seli-kiwen-poki-seli.svg        
Q137763570      poki tona                      Sitelen-seli-kiwen-poki-tona.svg        
Q137763571      pona ala                       Sitelen-seli-kiwen-pona-ala.svg         
Q137763572      pona lili                      Sitelen-seli-kiwen-pona-lili.svg        
Q137763573      pona mute                      Sitelen-seli-kiwen-pona-mute.svg        
Q137763575      selo len                       Sitelen-seli-kiwen-selo-len.svg         
Q137763576      selo soweli                    Sitelen-seli-kiwen-selo-soweli.svg      
Q137763577      sike lili                      Sitelen-seli-kiwen-sike-lili.svg        
Q137763578      sitelen ike                    Sitelen-seli-kiwen-sitelen-ike.svg      
Q137763579      sitelen monsuta                Sitelen-seli-kiwen-sitelen-monsuta.svg  
Q137763580      sona ala                       Sitelen-seli-kiwen-sona-ala.svg         
Q137763581      sona ike                       Sitelen-seli-kiwen-sona-ike.svg         
Q137763583      sona lili                      Sitelen-seli-kiwen-sona-lili.svg        
Q137763585      sona tenpo                     Sitelen-seli-kiwen-sona-tenpo.svg       
Q137763586      sona utala                     Sitelen-seli-kiwen-sona-utala.svg       
Q137763587      soweli kijetesantakalu         Sitelen-seli-kiwen-soweli-kijetesantakalu.svg
Q137763588      supa lawa                      Sitelen-seli-kiwen-supa-lawa.svg        
Q137763589      supa lupa                      Sitelen-seli-kiwen-supa-lupa.svg        
Q137763590      supa moku                      Sitelen-seli-kiwen-supa-moku.svg        
Q137763591      supa pali                      Sitelen-seli-kiwen-supa-pali.svg        
Q137763592      tawa pona                      Sitelen-seli-kiwen-tawa-pona.svg        
Q137763595      tawa sona                      Sitelen-seli-kiwen-tawa-sona.svg        
Q137763596      telo lete                      Sitelen-seli-kiwen-telo-lete.svg        
Q137763597      telo lili                      Sitelen-seli-kiwen-telo-lili.svg        
Q137763598      telo sitelen                   Sitelen-seli-kiwen-telo-sitelen.svg     
Q137763599      tenpo ike                      Sitelen-seli-kiwen-tenpo-ike.svg        
Q137763600      tenpo pona                     Sitelen-seli-kiwen-tenpo-pona.svg       
Q137763601      toki ala                       Sitelen-seli-kiwen-toki-ala.svg         
Q137763603      toki ike                       Sitelen-seli-kiwen-toki-ike.svg         
Q137763604      toki pona ligatures            Sitelen-seli-kiwen-toki-pona-ligatures.svg
Q137763605      toki utala                     Sitelen-seli-kiwen-toki-utala.svg       
Q137763606      tomo lape                      Sitelen-seli-kiwen-tomo-lape.svg        
Q137763607      tomo mani                      Sitelen-seli-kiwen-tomo-mani.svg        
Q137763608      tomo monsuta                   Sitelen-seli-kiwen-tomo-monsuta.svg     
Q137763609      tomo nasin                     Sitelen-seli-kiwen-tomo-nasin.svg       
Q137763610      tomo ni                        Sitelen-seli-kiwen-tomo-ni.svg          
Q137763611      tomo pali                      Sitelen-seli-kiwen-tomo-pali.svg        
Q137763612      tomo telo                      Sitelen-seli-kiwen-tomo-telo.svg        
Q137763613      tomo unpa                      Sitelen-seli-kiwen-tomo-unpa.svg        
Q137763614      tonsi ike                      Sitelen-seli-kiwen-tonsi-ike.svg        
Q137763615      tonsi lili                     Sitelen-seli-kiwen-tonsi-lili.svg       
Q137763617      tonsi pona                     Sitelen-seli-kiwen-tonsi-pona.svg       
Q137763618      tonsi sama                     Sitelen-seli-kiwen-tonsi-sama.svg       
Q137763619      tonsi sin                      Sitelen-seli-kiwen-tonsi-sin.svg        
Q137763620      tonsi unpa                     Sitelen-seli-kiwen-tonsi-unpa.svg       
Q137763622      tonsi wawa                     Sitelen-seli-kiwen-tonsi-wawa.svg       
Q137763623      tu luka                        Sitelen-seli-kiwen-tu-luka.svg          
Q137763625      walo jelo                      Sitelen-seli-kiwen-walo-jelo.svg        
Q137763626      walo laso                      Sitelen-seli-kiwen-walo-laso.svg        
Q137763627      walo loje                      Sitelen-seli-kiwen-walo-loje.svg        
Q137763629      walo pimeja                    Sitelen-seli-kiwen-walo-pimeja.svg      
Q137763631      wan luka                       Sitelen-seli-kiwen-wan-luka.svg         
Q137763632      wan tu                         Sitelen-seli-kiwen-wan-tu.svg           
Q137763634      wawa tenpo                     Sitelen-seli-kiwen-wawa-tenpo.svg       
Q137763636      sitelen Pona ligatures         Sitelen-seli-kiwen-sitelen-Pona-ligatures.svg
Q137763637      toki Pona Logograms unsorted by word Sitelen-seli-kiwen-toki-Pona-Logograms-unsorted-by-word.svg
Q137763638      toki pona rare words           Sitelen-seli-kiwen-toki-pona-rare-words.svg
Q137374190      anu                            Sitelen-seli-kiwen-anu.svg              
Q137374192      awen                           Sitelen-seli-kiwen-awen.svg             
Q137374194      en                             Sitelen-seli-kiwen-en.svg               
Q137374374      epiku                          Sitelen-seli-kiwen-epiku.svg            
Q137374200      insa                           Sitelen-seli-kiwen-insa.svg             
Q137374208      kama                           Sitelen-seli-kiwen-kama.svg             
Q137374211      kepeken                        Sitelen-seli-kiwen-kepeken.svg          
Q137374214      kin                            Sitelen-seli-kiwen-kin.svg              
Q137374377      kipisi                         Sitelen-seli-kiwen-kipisi.svg           
Q137374302      la                             Sitelen-seli-kiwen-la.svg               
Q137374310      li                             Sitelen-seli-kiwen-li.svg               
Q137374311      lili                           Sitelen-seli-kiwen-lili.svg             
Q137374383      meso                           Sitelen-seli-kiwen-meso.svg             
Q137374239      mute                           Sitelen-seli-kiwen-mute.svg             
Q137374253      open                           Sitelen-seli-kiwen-open.svg             
Q137374259      pana                           Sitelen-seli-kiwen-pana.svg             
Q137374262      pi                             Sitelen-seli-kiwen-pi.svg               
Q137374265      pini                           Sitelen-seli-kiwen-pini.svg             
Q137374272      sama                           Sitelen-seli-kiwen-sama.svg             
Q137374277      seme                           Sitelen-seli-kiwen-seme.svg             
Q137374281      sin                            Sitelen-seli-kiwen-sin.svg              
Q137374536      tan                            Sitelen-seli-kiwen-tan.svg              
Q137374537      taso                           Sitelen-seli-kiwen-taso.svg             
Q137763639      aAANUSEMEmailMahjong           Sitelen-seli-kiwen-aAANUSEMEmailMahjong.svg
Q137763640      aasun                          Sitelen-seli-kiwen-aasun.svg            
Q137763641      aja                            Sitelen-seli-kiwen-aja.svg              
Q137763642      aka                            Sitelen-seli-kiwen-aka.svg              
Q137763644      ako                            Sitelen-seli-kiwen-ako.svg              
Q137763645      aku                            Sitelen-seli-kiwen-aku.svg              
Q137763646      alente                         Sitelen-seli-kiwen-alente.svg           
Q137763647      alisa                          Sitelen-seli-kiwen-alisa.svg            
