anpa lawa	Q137771368	Category:anpa lawa (Toki Pona)
ma tomo	Q137771424	Category:ma tomo (Toki Pona)
meli tonsi	Q137771425	Category:meli tonsi (Toki Pona)
mije tonsi	Q137771427	Category:mije tonsi (Toki Pona)
nasin nanpa	Q137771428	Category:nasin nanpa (Toki Pona)
nasin sitelen	Q137771429	Category:nasin sitelen (Toki Pona)
nena kon	Q137771430	Category:nena kon (Toki Pona)
nena kute	Q137771431	Category:nena kute (Toki Pona)
nena mama	Q137771432	Category:nena mama (Toki Pona)
nimi sin	Q137771433	Category:nimi sin (Toki Pona)
palisa lili	Q137771434	Category:palisa lili (Toki Pona)
pilin ike	Q137771435	Category:pilin ike (Toki Pona)
pilin pona	Q137771436	Category:pilin pona (Toki Pona)
poki len	Q137771437	Category:poki len (Toki Pona)
poki lili	Q137771438	Category:poki lili (Toki Pona)
poki telo	Q137771439	Category:poki telo (Toki Pona)
pona lukin	Q137771440	Category:pona lukin (Toki Pona)
sitelen ma	Q137771441	Category:sitelen ma (Toki Pona)
sitelen pona	Q137771442	Category:sitelen pona (Toki Pona)
sitelen sitelen	Q137771444	Category:sitelen sitelen (Toki Pona)
sitelen tawa	Q137771445	Category:sitelen tawa (Toki Pona)
sitelen toki	Q137771446	Category:sitelen toki (Toki Pona)
sona ma	Q137771447	Category:sona ma (Toki Pona)
sona nanpa	Q137771448	Category:sona nanpa (Toki Pona)
sona pona	Q137771449	Category:sona pona (Toki Pona)
sona sijelo	Q137771450	Category:sona sijelo (Toki Pona)
sona toki	Q137771451	Category:sona toki (Toki Pona)
suno sama	Q137771453	Category:suno sama (Toki Pona)
supa lape	Q137771454	Category:supa lape (Toki Pona)
supa monsi	Q137771455	Category:supa monsi (Toki Pona)
tenpo ni	Q137771456	Category:tenpo ni (Toki Pona)
toki pona	Q137771457	Category:toki pona (Toki Pona)
toki sin	Q137771458	Category:toki sin (Toki Pona)
toki sona	Q137771459	Category:toki sona (Toki Pona)
tomo moku	Q137771460	Category:tomo moku (Toki Pona)
tomo sona	Q137771461	Category:tomo sona (Toki Pona)
tomo tawa	Q137771462	Category:tomo tawa (Toki Pona)
tomo utala	Q137771463	Category:tomo utala (Toki Pona)
tu tu	Q137771465	Category:tu tu (Toki Pona)
tu wan	Q137771466	Category:tu wan (Toki Pona)
jonke	Q137768887	Category:Jonke (Toki Pona)
kisa	Q137768888	Category:Kisa (Toki Pona)
kutopoma	Q137768889	Category:Kutopoma (Toki Pona)
linluwi	Q137763763	Category:Linluwi (Toki Pona)
melome	Q137768892	Category:Melome (Toki Pona)
mulapisu	Q137768893	Category:Mulapisu (Toki Pona)
nimisin	Q137768894	Category:Nimisin (Toki Pona)
nja	Q137768895	Category:Nja (Toki Pona)
soto	Q137768896	Category:Soto (Toki Pona)
sutopatikuna	Q137768897	Category:Sutopatikuna (Toki Pona)
teje	Q137768898	Category:Teje (Toki Pona)
