Page Title,Sonapona URL
me,https://sonapona.miraheze.org/wiki/me
melome,https://sonapona.miraheze.org/wiki/melome
melome and mijomi,https://sonapona.miraheze.org/wiki/melome_and_mijomi
mijomi,https://sonapona.miraheze.org/wiki/mijomi
minsu,https://sonapona.miraheze.org/wiki/minsu
misa,https://sonapona.miraheze.org/wiki/misa
molusa,https://sonapona.miraheze.org/wiki/molusa
mulapisu,https://sonapona.miraheze.org/wiki/mulapisu
nalanja,https://sonapona.miraheze.org/wiki/nalanja
nan,https://sonapona.miraheze.org/wiki/nan
nasa renaissance,https://sonapona.miraheze.org/wiki/nasa_renaissance
nasin panke,https://sonapona.miraheze.org/wiki/nasin_panke
natu,https://sonapona.miraheze.org/wiki/natu
neja,https://sonapona.miraheze.org/wiki/neja
nele,https://sonapona.miraheze.org/wiki/nele
nimi ku,https://sonapona.miraheze.org/wiki/nimi_ku
nimi pu,https://sonapona.miraheze.org/wiki/nimi_pu
nimi sin,https://sonapona.miraheze.org/wiki/nimi_sin
nimi su,https://sonapona.miraheze.org/wiki/nimi_su
nimisin,https://sonapona.miraheze.org/wiki/nimisin
nja,https://sonapona.miraheze.org/wiki/nja
nowi,https://sonapona.miraheze.org/wiki/nowi
nu,https://sonapona.miraheze.org/wiki/nu
nu (synonym),https://sonapona.miraheze.org/wiki/nu_(synonym)
ojuta,https://sonapona.miraheze.org/wiki/ojuta
oke,https://sonapona.miraheze.org/wiki/oke
okepuma,https://sonapona.miraheze.org/wiki/okepuma
oki,https://sonapona.miraheze.org/wiki/oki
olala,https://sonapona.miraheze.org/wiki/olala
omekalike,https://sonapona.miraheze.org/wiki/omekalike
omekapo,https://sonapona.miraheze.org/wiki/omekapo
omen,https://sonapona.miraheze.org/wiki/omen
oni,https://sonapona.miraheze.org/wiki/oni
opasan,https://sonapona.miraheze.org/wiki/opasan
owe,https://sonapona.miraheze.org/wiki/owe
pa,https://sonapona.miraheze.org/wiki/pa
paka,https://sonapona.miraheze.org/wiki/paka
pakola,https://sonapona.miraheze.org/wiki/pakola
panke,https://sonapona.miraheze.org/wiki/panke
panpan,https://sonapona.miraheze.org/wiki/panpan
pasila,https://sonapona.miraheze.org/wiki/pasila
pe,https://sonapona.miraheze.org/wiki/pe
pelusa,https://sonapona.miraheze.org/wiki/pelusa
penpo,https://sonapona.miraheze.org/wiki/penpo
peto,https://sonapona.miraheze.org/wiki/peto
pika,https://sonapona.miraheze.org/wiki/pika
pipo,https://sonapona.miraheze.org/wiki/pipo
poki tona,https://sonapona.miraheze.org/wiki/poki_tona
poku,https://sonapona.miraheze.org/wiki/poku
polinpin,https://sonapona.miraheze.org/wiki/polinpin
pomotolo,https://sonapona.miraheze.org/wiki/pomotolo
poni,https://sonapona.miraheze.org/wiki/poni
potesu,https://sonapona.miraheze.org/wiki/potesu
pulaso,https://sonapona.miraheze.org/wiki/pulaso
puwa,https://sonapona.miraheze.org/wiki/puwa
samu,https://sonapona.miraheze.org/wiki/samu
santa,https://sonapona.miraheze.org/wiki/santa
sapelipope,https://sonapona.miraheze.org/wiki/sapelipope
sikako,https://sonapona.miraheze.org/wiki/sikako
sikomo,https://sonapona.miraheze.org/wiki/sikomo
silapa,https://sonapona.miraheze.org/wiki/silapa
sipi,https://sonapona.miraheze.org/wiki/sipi
sisi,https://sonapona.miraheze.org/wiki/sisi
siwala,https://sonapona.miraheze.org/wiki/siwala
slape,https://sonapona.miraheze.org/wiki/slape
snoweli,https://sonapona.miraheze.org/wiki/snoweli
sokeli,https://sonapona.miraheze.org/wiki/sokeli
sole,https://sonapona.miraheze.org/wiki/sole
soto,https://sonapona.miraheze.org/wiki/soto
sowoli,https://sonapona.miraheze.org/wiki/sowoli
su (particle),https://sonapona.miraheze.org/wiki/su_(particle)
suke,https://sonapona.miraheze.org/wiki/suke
sulaso,https://sonapona.miraheze.org/wiki/sulaso
sunta,https://sonapona.miraheze.org/wiki/sunta
sutopatikuna,https://sonapona.miraheze.org/wiki/sutopatikuna
ta,https://sonapona.miraheze.org/wiki/ta
taki,https://sonapona.miraheze.org/wiki/taki
tankala,https://sonapona.miraheze.org/wiki/tankala
te,https://sonapona.miraheze.org/wiki/te
te and to,https://sonapona.miraheze.org/wiki/te_and_to
teken,https://sonapona.miraheze.org/wiki/teken
teki,https://sonapona.miraheze.org/wiki/teki
ten,https://sonapona.miraheze.org/wiki/ten
tenkala,https://sonapona.miraheze.org/wiki/tenkala
to,https://sonapona.miraheze.org/wiki/to
tokana,https://sonapona.miraheze.org/wiki/tokana
toma,https://sonapona.miraheze.org/wiki/toma
tona,https://sonapona.miraheze.org/wiki/tona
tuki tiki,https://sonapona.miraheze.org/wiki/tuki_tiki
tuli,https://sonapona.miraheze.org/wiki/tuli
u,https://sonapona.miraheze.org/wiki/u
uka,https://sonapona.miraheze.org/wiki/uka
ulu,https://sonapona.miraheze.org/wiki/ulu
umesu,https://sonapona.miraheze.org/wiki/umesu
unu,https://sonapona.miraheze.org/wiki/unu
usa,https://sonapona.miraheze.org/wiki/usa
usawi,https://sonapona.miraheze.org/wiki/usawi
wa,https://sonapona.miraheze.org/wiki/wa
waken,https://sonapona.miraheze.org/wiki/waken
waleja,https://sonapona.miraheze.org/wiki/waleja
wasoweli,https://sonapona.miraheze.org/wiki/wasoweli
wawajete,https://sonapona.miraheze.org/wiki/wawajete
we,https://sonapona.miraheze.org/wiki/we
we (content word),https://sonapona.miraheze.org/wiki/we_(content_word)
we (particle),https://sonapona.miraheze.org/wiki/we_(particle)
wekama,https://sonapona.miraheze.org/wiki/wekama
wi,https://sonapona.miraheze.org/wiki/wi
wisa,https://sonapona.miraheze.org/wiki/wisa
wiwi,https://sonapona.miraheze.org/wiki/wiwi
wuwojiti,https://sonapona.miraheze.org/wiki/wuwojiti
yupekosi,https://sonapona.miraheze.org/wiki/yupekosi
yutu,https://sonapona.miraheze.org/wiki/yutu
