yutu	Q137763949
tomo ni	Q137763610
tomo nasin	Q137763609
tomo monsuta	Q137763608
tomo mani	Q137763607
tomo lape	Q137763606
toki utala	Q137763605
toki pona ligatures	Q137763604
toki ike	Q137763603
toki ala	Q137763601
tenpo pona	Q137763600
tenpo ike	Q137763599
telo sitelen	Q137763598
telo lili	Q137763597
telo lete	Q137763596
tawa sona	Q137763595
tawa pona	Q137763592
supa pali	Q137763591
supa moku	Q137763590
supa lupa	Q137763589
supa lawa	Q137763588
soweli kijetesantakalu	Q137763587
sona utala	Q137763586
sona tenpo	Q137763585
sona lili	Q137763583
sona ike	Q137763581
sona ala	Q137763580
sitelen monsuta	Q137763579
sitelen ike	Q137763578
sike lili	Q137763577
selo soweli	Q137763576
selo len	Q137763575
pona mute	Q137763573
pona lili	Q137763572
pona ala	Q137763571
poki tona	Q137763570
poki seli	Q137763569
poki lete	Q137763568
poki kon	Q137763567
pimeja loje	Q137763566
pimeja laso	Q137763565
pimeja jelo	Q137763564
pilin seme	Q137763563
pilin sama	Q137763562
pilin pakala	Q137763560
pilin nasa	Q137763559
pilin ala	Q137763558
nena meli	Q137763556
nena lili	Q137763555
mute mute	Q137763554
musi lili	Q137763553
mije wawa	Q137763552
mije unpa	Q137763551
mije sama	Q137763550
mije pona	Q137763548
mije meli	Q137763546
mije lili	Q137763545
mije ike	Q137763544
meli wawa	Q137763543
meli unpa	Q137763542
meli sama	Q137763541
meli pona	Q137763539
meli mije	Q137763538
meli lili	Q137763537
meli ike	Q137763536
mama tonsi	Q137763535
mama mije	Q137763534
mama meli	Q137763533
mama mama	Q137763532
ma ni	Q137763530
ma kasi	Q137763529
ma ike	Q137763528
lupa tomo	Q137763527
lupa nena	Q137763526
lupa lili	Q137763525
lupa kute	Q137763524
lupa kiwen	Q137763522
lupa jaki	Q137763521
luka wan tu	Q137763520
luka luka wan tu	Q137763519
luka luka luka wan tu	Q137763518
luka luka luka wan	Q137763517
luka luka luka tu wan	Q137763516
luka luka luka tu tu	Q137763515
luka luka luka tu	Q137763513
luka luka luka luka	Q137763512
loje walo	Q137763511
loje jelo	Q137763510
lipu unpa	Q137763509
lipu nanpa	Q137763507
lipu majuna	Q137763506
lipu kasi	Q137763505
linja suwi	Q137763504
linja lili	Q137763503
len walo	Q137763502
len sin	Q137763501
len pimeja	Q137763499
len luka	Q137763497
len loje	Q137763496
len lili	Q137763495
len laso	Q137763494
len jelo	Q137763492
len jan	Q137763491
laso telo	Q137763490
laso sewi	Q137763489
laso mun	Q137763488
laso kasi	Q137763487
lan sin	Q137763486
kule uta	Q137763485
kule telo	Q137763484
kule suno	Q137763483
kule sewi	Q137763482
kule pilin	Q137763481
kule mun	Q137763480
kule ma	Q137763479
kule kili	Q137763478
kon lete	Q137763477
ko walo	Q137763476
ko seli	Q137763475
ko pimeja	Q137763474
ko nasa	Q137763473
ko loje	Q137763472
ko lili	Q137763471
ko laso	Q137763470
ko kule	Q137763468
ko kasi	Q137763467
ko jelo	Q137763466
kiwen walo	Q137763465
kiwen suno	Q137763464
kiwen seli	Q137763463
kiwen pona	Q137763462
kiwen pimeja	Q137763461
kiwen mun	Q137763460
kiwen loje	Q137763459
kiwen lili	Q137763458
kiwen lete	Q137763457
kiwen laso	Q137763456
kiwen jelo	Q137763455
kiwen ike	Q137763454
kili walo	Q137763453
kili suwi	Q137763452
kili pimeja	Q137763450
kili loje	Q137763449
kili lili	Q137763448
kili laso	Q137763447
kili jelo	Q137763446
kijetesantakalu soweli	Q137763445
kasi walo	Q137763444
kasi pimeja	Q137763443
kasi loje	Q137763442
kasi lili	Q137763441
kasi laso	Q137763440
kasi kule	Q137763439
kasi ko	Q137763437
kasi jelo	Q137763436
kama pona	Q137763435
kala pona	Q137763434
kala lili	Q137763433
kala lete	Q137763432
kala ike	Q137763431
jan wawa	Q137763430
jan unpa	Q137763428
jan toki	Q137763427
jan suwi	Q137763426
jan suli	Q137763425
jan sin	Q137763424
jan seme	Q137763423
jan pona	Q137763422
jan poka	Q137763420
jan pakala	Q137763419
jan olin	Q137763418
jan ni	Q137763417
jan mute	Q137763416
jan monsuta	Q137763415
jan kulupu	Q137763414
jan kasi	Q137763413
jan kalama	Q137763410
jan kala	Q137763409
jan ike	Q137763408
jan ante	Q137763407
jan ali	Q137763406
jan ale	Q137763405
jan alasa	Q137763403
jan ala	Q137763402
ilo open	Q137763401
ilo oko	Q137763400
ilo moli	Q137763399
ilo lape	Q137763398
ike mute	Q137763397
ike lukin	Q137763396
ike lili	Q137763394
ike ala	Q137763393
ijo weka	Q137763392
ijo wawa	Q137763391
ijo waso	Q137763390
ijo wan	Q137763388
ijo walo	Q137763387
ijo vivi	Q137763386
ijo utala	Q137763385
ijo uta	Q137763384
ijo unpa	Q137763383
ijo tu	Q137763382
ijo tonsi	Q137763380
ijo tomo	Q137763379
ijo toki	Q137763378
ijo tenpo	Q137763377
ijo telo	Q137763376
ijo tawa	Q137763375
ijo taso	Q137763374
ijo tan	Q137763372
ijo suwi	Q137763371
ijo supa	Q137763370
ijo suno	Q137763369
ijo suli	Q137763368
ijo Stella	Q137763367
ijo soweli	Q137763366
ijo sona	Q137763365
ijo sitelen	Q137763364
ijo sinpin	Q137763363
ijo sina	Q137763362
ijo sin	Q137763361
ijo sike	Q137763360
ijo sewi	Q137763358
ijo seme	Q137763357
ijo selo	Q137763356
ijo seli	Q137763355
ijo sama	Q137763354
ijo pu	Q137763353
ijo pona	Q137763352
ijo poki	Q137763351
ijo poka	Q137763350
ijo pipi	Q137763349
ijo pini	Q137763348
ijo pimeja	Q137763347
ijo pilin	Q137763345
ijo pana	Q137763344
ijo pan	Q137763343
ijo palisa	Q137763342
ijo pali	Q137763341
ijo pake	Q137763340
ijo pakala	Q137763339
ijo open	Q137763338
ijo ona	Q137763337
ijo olin	Q137763336
ijo oko	Q137763335
ijo noka	Q137763334
ijo nimi	Q137763333
ijo ni li seme	Q137763332
ijo ni	Q137763331
ijo nena	Q137763329
ijo nasin	Q137763328
ijo nasa	Q137763327
ijo nanpa	Q137763326
ijo namako	Q137763324
ijo mute	Q137763323
ijo musi	Q137763322
ijo mun	Q137763321
ijo mu	Q137763319
ijo monsuta	Q137763318
ijo monsi	Q137763317
ijo moli	Q137763316
ijo moku	Q137763315
ijo mije	Q137763313
ijo mi	Q137763311
ijo meli	Q137763310
ijo mani	Q137763308
ijo mama	Q137763307
ijo ma	Q137763305
ijo lupa	Q137763304
ijo lukin	Q137763303
ijo luka	Q137763302
ijo loje	Q137763301
ijo lipu	Q137763299
ijo linja	Q137763298
ijo lete	Q137763296
ijo len	Q137763295
ijo laso	Q137763294
ijo lape	Q137763293
ijo kute	Q137763292
ijo kulupu	Q137763291
ijo kule	Q137763289
ijo kon	Q137763288
ijo ko	Q137763287
ijo kiwen	Q137763286
ijo kipisi	Q137763285
ijo kin	Q137763284
ijo kili	Q137763283
ijo kijetesantakalu	Q137763281
ijo kepen	Q137763280
ijo kepeken	Q137763279
ijo ken	Q137763277
ijo kasi	Q137763276
ijo kama	Q137763275
ijo kalama	Q137763274
ijo kala	Q137763273
ijo jo	Q137763271
ijo jelo	Q137763270
ijo jan	Q137763269
ijo jaki	Q137763268
ijo insa	Q137763267
ijo ilo	Q137763266
ijo ike	Q137763265
ijo esun	Q137763264
ijo en	Q137763263
ijo awen	Q137763262
ijo apeja	Q137763261
ijo anu	Q137763260
ijo ante	Q137763259
ijo anpa	Q137763258
ijo ali	Q137763257
ijo ale	Q137763256
ijo alasa	Q137763255
ijo ala	Q137763254
ijo akesi	Q137763253
akesi kon	Q137763252
